post_id,text,created_at,finbertptbr_prediction,gpt_prediction,real_sentiment
1818246570069934451,"a partir desse cálculo, para cada empresa do ibovespa, selecionam-se as ações que estão entre as de 33% de menor valor, com a carteira sendo rebalanceada a cada 4 meses.",2024-07-30T08:25:38.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1818251106570395982,ibovespa reage às entrelinhas do relatório de produção da petrobras e aos balanços da vivo e da ccr antes da super quarta,2024-07-30T08:43:39.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1818257465793765640,ibovespa em queda de olho na reunião do copom,2024-07-30T09:08:56.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1818262436144669087,"esquenta dos mercados 
bom dia!
o ibovespa abre hoje a penúltima sessão de julho com uma alta acumulada de 2,46% no mês. quase todo esse avanço, porém, ocorreu na primeira quinzena. na segunda metade de julho, o principal índice de ações da b3 recuou e…",2024-07-30T09:28:41.000000Z,POSITIVE,NEUTRAL,NEUTRAL
1818262819063660642,ibovespa futuro cai na expectativa pelo 1º dia de copom,2024-07-30T09:30:12.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1818266993360847139,"dólar cai 0,11%, a r$ 5,6192; dólar futuro sobe +0,10%, a r$ 5,6230
juros futuros abrem perto do ajuste, com viés de alta
ibovespa futuro cede 0,30%, a 127.410 pontos",2024-07-30T09:46:47.000000Z,NEGATIVE,NEUTRAL,NEUTRAL
1818267971837440319,ibovespa futuro recua com cautela antes de decisões de juros no brasil e eua  via,2024-07-30T09:50:40.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1818280801857155318,"ibov ainda enxergo espaço para corrigir no tempo e no preço. para os próximos meses, estou confiante.",2024-07-30T10:41:39.000000Z,NEUTRAL,POSITIVE,NEUTRAL
1818282278822224204,bolsas da ásia fecham em queda com fim da reunião do politburo na china,2024-07-30T10:47:31.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1818287084597108748,"ibovespa projeta volume de r$12,2 bi; 15% abaixo da média de 50 pregões",2024-07-30T11:06:37.000000Z,NEGATIVE,NEUTRAL,NEUTRAL
1818294139944874210,"esse tom mais positivo no exterior deveria animar os investidores, embora o fraco desempenho das commodities possa ser um revés para o ibovespa hoje.",2024-07-30T11:34:39.000000Z,NEGATIVE,NEUTRAL,NEGATIVE
1818298153528889407,mais fácil pagar 5k em um celular que é capaz de render mais que o ibov,2024-07-30T11:50:36.000000Z,NEUTRAL,NEUTRAL,NEGATIVE
1818330698924642464,"ibovespa opera na mínima intradiária; recua 0,71%, aos 126.058 pts",2024-07-30T13:59:56.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1818332464101642311,tem a questão da taxa livre de risco também... p/l da ibovespa e a taxa selic tem correlação altíssima desde o impeachment de 2016.,2024-07-30T14:06:57.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1818335142730993756,"*ibovespa bate mínima, aos 126.005,36 pontos (-0,75%)*",2024-07-30T14:17:35.000000Z,NEGATIVE,NEGATIVE,NEGATIVE
1818339387924472285,ibov x sp500 atualmente,2024-07-30T14:34:27.000000Z,NEUTRAL,NEUTRAL,NEUTRAL
1818346179744178286,pregão assim eu gosto. ibov foi feito pra ser amassado,2024-07-30T15:01:27.000000Z,NEUTRAL,POSITIVE,NEUTRAL
