tweet,source,human_sentiment,has_human_label,date,stock,known_pumper,price_region,inflection_point,tweet_volume,hour,dayofweek,is_weekend,is_market_hours,fb_polarity,fb_label
"a partir desse cálculo, para cada empresa do ibovespa, selecionam-se as ações que estão entre as de 33% de menor valor, com a carteira sendo rebalanceada a cada 4 meses.",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-30 08:25:38+00:00,UNKNOWN,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.7402,positive
ibovespa reage às entrelinhas do relatório de produção da petrobras e aos balanços da vivo e da ccr antes da super quarta,analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-30 08:43:39+00:00,UNKNOWN,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.7442,positive
ibovespa em queda de olho na reunião do copom,analise_sentimentos_ibovespa_twitter.csv,-1.0,1.0,2024-07-30 09:08:56+00:00,UNKNOWN,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,0.65,positive
"esquenta dos mercados 
bom dia!
o ibovespa abre hoje a penúltima sessão de julho com uma alta acumulada de 2,46% no mês. quase todo esse avanço, porém, ocorreu na primeira quinzena. na segunda metade de julho, o principal índice de ações da b3 recuou e…",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-30 09:28:41+00:00,UNKNOWN,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,0.5913,positive
ibovespa futuro cai na expectativa pelo 1º dia de copom,analise_sentimentos_ibovespa_twitter.csv,-1.0,1.0,2024-07-30 09:30:12+00:00,UNKNOWN,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,neutral
"dólar cai 0,11%, a r$ 5,6192; dólar futuro sobe +0,10%, a r$ 5,6230
juros futuros abrem perto do ajuste, com viés de alta
ibovespa futuro cede 0,30%, a 127.410 pontos",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-30 09:46:47+00:00,UNKNOWN,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,neutral
ibovespa futuro recua com cautela antes de decisões de juros no brasil e eua  via,analise_sentimentos_ibovespa_twitter.csv,-1.0,1.0,2024-07-30 09:50:40+00:00,UNKNOWN,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,neutral
"ibov ainda enxergo espaço para corrigir no tempo e no preço. para os próximos meses, estou confiante.",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-30 10:41:39+00:00,UNKNOWN,0.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,0.5476,positive
bolsas da ásia fecham em queda com fim da reunião do politburo na china,analise_sentimentos_ibovespa_twitter.csv,-1.0,1.0,2024-07-30 10:47:31+00:00,UNKNOWN,0.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,0.6823,positive
"ibovespa projeta volume de r$12,2 bi; 15% abaixo da média de 50 pregões",analise_sentimentos_ibovespa_twitter.csv,0.0,1.0,2024-07-30 11:06:37+00:00,UNKNOWN,0.0,0.0,0.0,0.0,11.0,1.0,0.0,1.0,0.0,neutral
"esse tom mais positivo no exterior deveria animar os investidores, embora o fraco desempenho das commodities possa ser um revés para o ibovespa hoje.",analise_sentimentos_ibovespa_twitter.csv,-1.0,1.0,2024-07-30 11:34:39+00:00,UNKNOWN,0.0,0.0,0.0,0.0,11.0,1.0,0.0,1.0,0.788,positive
mais fácil pagar 5k em um celular que é capaz de render mais que o ibov,analise_sentimentos_ibovespa_twitter.csv,-1.0,1.0,2024-07-30 11:50:36+00:00,UNKNOWN,0.0,0.0,0.0,0.0,11.0,1.0,0.0,1.0,0.7673,positive
"ibovespa opera na mínima intradiária; recua 0,71%, aos 126.058 pts",analise_sentimentos_ibovespa_twitter.csv,-1.0,1.0,2024-07-30 13:59:56+00:00,UNKNOWN,0.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0,0.0,neutral
